Lifetime Engaged Users,Page total likes,Type_Photo,Type_status,Type_video,Type_link,Category_one,Category_two,Category_three,Post Month,Post Weekday,Post Hour,Paid,Lifetime Post Total Reach,Lifetime Post Total Impressions,Lifetime Post Consumers,Lifetime Post Consumptions,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime People who have liked your Page and engaged with your post,comment,like,share,Total Interactions
252,138895,1,0,0,0,0,0,1,12,1,3,0,2690,4628,168,226,3052,1727,199,0,96,17,113
479,138895,1,0,0,0,1,0,0,12,7,10,1,19800,28663,424,805,5187,2752,248,16,76,8,100
5352,138895,0,1,0,0,0,1,0,12,7,9,0,17576,33058,5202,6547,23135,11792,4104,11,227,31,269
306,138895,1,0,0,0,1,0,0,12,7,3,0,3290,6085,284,402,4986,2584,247,1,44,14,59
2055,138895,0,1,0,0,0,1,0,12,6,11,0,13280,24198,1912,2720,17627,9344,1716,7,216,39,262
517,138895,0,0,0,1,1,0,0,12,6,3,1,18480,28438,366,460,12078,6752,319,6,187,18,211
2087,138353,1,0,0,0,1,0,0,12,5,10,0,7268,13989,2079,12074,13544,7096,1975,7,26,3,36
134,138353,0,0,0,1,1,0,0,12,5,3,1,2645,4270,109,170,2330,1377,101,7,29,10,46
355,138353,1,0,0,0,1,0,0,12,4,11,0,4284,8387,316,513,7283,3634,291,0,47,11,58
206,138353,0,0,0,1,1,0,0,12,4,3,1,7968,13023,158,223,6734,3492,138,4,57,10,71
3572,138353,0,1,0,0,1,0,0,12,3,11,0,16576,30612,3464,4802,24363,12888,3014,4,174,36,214
97,138353,0,0,0,1,1,0,0,12,3,2,0,1925,3481,83,126,2307,1180,77,6,18,8,32
338,138353,1,0,0,0,1,0,0,12,2,11,0,3786,7329,283,450,6336,3216,280,0,77,15,92
84,138353,0,0,0,1,1,0,0,12,2,2,0,1536,3094,76,99,2903,1407,76,1,12,1,14
108,138353,1,0,0,0,0,1,0,11,1,9,0,1728,3155,65,95,2313,1232,77,1,48,9,58
726,138329,1,0,0,0,1,0,0,11,1,3,1,25248,40125,467,863,16132,8608,451,24,285,28,337
355,138329,1,0,0,0,1,0,0,11,7,9,0,4894,8899,181,264,4914,2712,246,9,202,31,242
237,138329,1,0,0,0,1,0,0,11,7,3,0,2935,5439,182,401,3901,2044,201,4,64,19,87
260,138329,1,0,0,0,1,0,0,11,6,10,0,2425,4462,213,433,3017,1510,175,4,66,13,83
459,138329,0,0,1,0,1,0,0,11,6,2,1,16416,31950,411,539,21436,9568,363,2,65,14,81
343,138329,1,0,0,0,1,0,0,11,5,11,0,5812,10465,204,301,4976,2764,240,2,164,54,220
165,138329,1,0,0,0,1,0,0,11,5,3,0,2545,4846,131,167,3675,1901,134,0,40,13,53
230,138329,1,0,0,0,1,0,0,11,4,10,0,2257,4372,173,327,3188,1557,168,3,76,11,90
421,138329,1,0,0,0,1,0,0,11,4,3,1,27072,84885,304,487,35637,9712,263,4,139,17,160
417,138185,1,0,0,0,1,0,0,11,3,11,1,10940,27951,335,591,15066,5100,319,8,101,14,123
630,138185,1,0,0,0,1,0,0,11,3,2,1,50912,164528,513,952,54653,12704,346,8,144,10,162
802,138185,1,0,0,0,1,0,0,11,2,10,1,28752,47358,654,1268,14091,7456,408,10,179,13,202
541,138185,1,0,0,0,1,0,0,11,2,3,1,27216,81908,335,540,26869,7760,315,4,219,22,245
232,138185,1,0,0,0,1,0,0,11,1,10,0,2352,5234,182,258,4101,1761,181,2,60,7,69
356,138185,1,0,0,0,1,0,0,11,1,3,0,3416,6167,298,641,4530,2388,280,19,77,23,119
197,138185,1,0,0,0,1,0,0,11,7,11,0,2149,4120,156,219,3302,1640,161,0,48,7,55
1576,138185,1,0,0,0,1,0,0,11,7,3,1,53456,93790,995,1469,32646,14912,884,20,697,70,787
211,138185,1,0,0,0,1,0,0,11,6,11,0,2168,3891,168,202,2873,1539,171,0,53,17,70
360,137893,1,0,0,0,1,0,0,11,6,3,0,3102,5939,288,512,3537,1780,275,7,84,28,119
588,137893,1,0,0,0,1,0,0,11,5,10,1,39344,103050,460,695,39304,11392,336,7,146,9,162
2101,137893,0,0,1,0,1,0,0,11,5,3,1,100768,220447,1735,2331,59658,18880,885,17,449,84,550
1006,137893,0,1,0,0,0,0,1,11,4,11,0,9056,16362,847,1153,9562,5180,740,3,226,44,273
555,137893,1,0,0,0,1,0,0,11,4,2,1,11444,46054,418,717,13737,4320,438,14,172,47,233
517,137893,0,0,1,0,1,0,0,11,3,11,0,13544,30235,458,667,26622,11760,447,2,99,13,114
1150,137893,1,0,0,0,1,0,0,11,3,2,1,37376,68610,808,1341,22100,10880,724,20,411,74,505
17,137893,1,0,0,0,1,0,0,11,3,2,0,1228,2392,17,19,2392,1228,17,0,0,0,0
438,137177,1,0,0,0,1,0,0,11,1,10,0,22984,59040,374,542,12716,4968,262,4,85,8,97
217,137177,1,0,0,0,0,1,0,11,1,3,0,1445,2774,167,211,1924,1005,154,0,56,8,64
658,137177,1,0,0,0,1,0,0,11,7,12,0,3754,8533,640,2085,6838,3224,598,2,29,7,38
2295,137177,0,1,0,0,0,1,0,11,7,3,0,8728,17827,2235,2828,15418,7344,2099,2,86,13,101
657,137177,1,0,0,0,0,0,1,11,6,10,0,5990,11123,361,512,5057,2628,428,18,370,53,441
454,137177,1,0,0,0,1,0,0,11,6,3,0,4582,9193,306,431,3691,1722,305,5,190,57,252
321,137177,1,0,0,0,0,0,1,11,5,10,1,2938,5799,243,379,3668,1848,236,2,101,19,122
199,137177,0,1,0,0,0,0,1,11,5,2,0,6692,13092,108,141,7549,3336,156,2,99,16,117
384,137177,1,0,0,0,1,0,0,11,4,9,1,2566,5244,280,469,3834,1806,266,10,140,8,158
330,137177,0,0,0,1,1,0,0,11,4,3,0,21176,54779,228,329,13858,5248,185,2,130,31,163
550,137177,1,0,0,0,0,0,1,11,3,10,0,4012,7955,319,477,4625,2218,403,3,270,38,311
212,137177,1,0,0,0,1,0,0,11,3,3,0,1531,2838,189,1359,1210,690,143,3,30,6,39
374,137059,1,0,0,0,1,0,0,11,2,11,1,2938,6056,283,483,4509,2078,287,2,107,17,126
845,137059,1,0,0,0,1,0,0,11,2,3,0,24720,37240,564,850,14475,8120,504,13,331,77,421
287,137059,1,0,0,0,0,1,0,11,1,9,0,2219,4545,220,329,3189,1495,221,0,78,13,91
607,137059,1,0,0,0,0,0,1,11,1,3,0,4732,9303,352,518,6201,3136,445,9,301,32,342
310,137059,1,0,0,0,0,0,1,11,7,9,0,2225,4239,216,289,2570,1389,233,2,111,16,129
316,137059,1,0,0,0,0,1,0,11,7,4,0,2626,4943,213,299,3047,1605,244,2,124,22,148
391,137059,1,0,0,0,0,0,1,10,6,10,0,3090,5744,257,360,3521,1796,293,5,153,27,185
324,137059,1,0,0,0,1,0,0,10,6,3,0,1101,2548,287,2418,1284,704,220,3,51,11,65
318,137059,1,0,0,0,0,1,0,10,5,11,0,2819,5230,218,303,3128,1622,240,1,115,26,142
2143,137020,0,1,0,0,0,1,0,10,5,3,1,12468,24917,1966,2576,15850,7636,1661,7,310,61,378
785,137020,1,0,0,0,1,0,0,10,4,10,0,12776,21893,539,881,13272,7800,575,12,328,90,430
37,137020,1,0,0,0,1,0,0,10,4,9,1,1357,2453,37,55,2154,1120,32,0,0,0,0
2624,137020,1,0,0,0,0,1,0,10,4,3,0,68896,104952,1326,1952,35707,19840,1354,26,1505,95,1626
288,137020,1,0,0,0,0,0,1,10,3,10,0,1711,3174,245,339,2226,1118,205,2,63,14,79
224,137020,1,0,0,0,1,0,0,10,3,4,0,1388,2544,219,931,2161,1214,172,0,13,4,17
357,137020,1,0,0,0,1,0,0,10,2,11,1,2645,5472,315,482,4485,2101,265,4,59,9,72
3216,137020,1,0,0,0,1,0,0,10,2,4,0,70144,111745,2628,4782,43671,20608,1542,42,955,139,1136
452,137020,1,0,0,0,0,0,1,10,1,11,0,3674,7221,330,487,3832,1890,328,9,181,32,222
1132,136736,0,1,0,0,0,1,0,10,1,4,0,9504,19556,1032,1512,16018,7616,981,17,193,28,238
320,136736,1,0,0,0,0,0,1,10,7,9,0,2426,4469,237,325,3120,1684,248,7,125,16,148
2664,136736,0,1,0,0,0,1,0,10,7,3,0,13872,27468,2570,3395,20198,10432,2252,4,217,50,271
338,136736,1,0,0,0,1,0,0,10,6,10,0,1673,3655,324,1619,2598,1469,268,2,28,4,34
37,136736,1,0,0,0,1,0,0,10,6,8,0,1261,2158,37,49,1911,1077,33,0,,,0
311,136736,1,0,0,0,0,1,0,10,6,4,0,2428,4510,238,323,2888,1560,236,4,117,18,139
369,136642,1,0,0,0,0,1,0,10,1,3,1,2227,4070,314,430,3227,1702,306,2,79,16,97
370,136642,1,0,0,0,1,0,0,10,7,13,0,1592,2749,356,414,2551,1454,327,0,15,2,17
323,136642,1,0,0,0,1,0,0,10,7,12,1,813,1568,319,387,1402,695,280,0,4,2,6
1810,136642,1,0,0,0,1,0,0,10,7,12,0,32208,57472,1490,2286,56149,31648,1724,1,431,26,458
303,136642,1,0,0,0,1,0,0,10,7,11,0,729,1374,298,331,1284,650,262,0,7,0,7
399,136642,1,0,0,0,1,0,0,10,7,10,0,834,1570,392,510,1390,704,351,0,7,2,9
263,136393,1,0,0,0,1,0,0,10,7,10,0,786,1573,257,318,1401,660,222,0,6,2,8
273,136393,1,0,0,0,1,0,0,10,7,9,0,584,1029,271,308,943,511,232,0,2,,2
2733,136393,0,1,0,0,0,1,0,10,7,9,0,15816,30514,2654,3289,23584,11912,2361,6,186,40,232
257,136393,1,0,0,0,1,0,0,10,7,8,0,619,1096,254,292,951,516,217,1,1,2,4
229,136393,1,0,0,0,1,0,0,10,7,7,0,617,1071,223,265,935,521,191,1,3,2,6
251,136393,1,0,0,0,1,0,0,10,7,6,0,677,1285,246,297,1210,615,211,0,7,,7
236,136393,1,0,0,0,1,0,0,10,7,5,0,677,1240,228,264,1098,580,196,0,7,2,9
474,136393,1,0,0,0,0,0,1,10,7,3,0,3366,6647,345,495,3180,1674,385,3,198,41,242
226,136393,1,0,0,0,1,0,0,10,6,13,0,747,1443,220,287,1252,632,194,0,9,1,10
195,136393,1,0,0,0,1,0,0,10,6,13,0,645,1117,192,224,989,554,166,0,4,1,5
206,136393,1,0,0,0,1,0,0,10,6,12,0,754,1510,205,252,1430,690,175,0,3,0,3
207,136393,1,0,0,0,1,0,0,10,6,11,0,910,1673,201,247,1503,782,176,0,8,2,10
868,136393,1,0,0,0,1,0,0,10,6,9,0,3906,8239,863,2632,7736,3768,774,0,7,3,10
199,136393,1,0,0,0,1,0,0,10,6,9,0,659,1158,194,239,1041,576,169,1,7,2,10
214,136393,1,0,0,0,1,0,0,10,6,8,0,652,1331,206,249,1249,588,182,0,11,1,12
214,136393,1,0,0,0,1,0,0,10,6,6,0,861,1565,192,239,1351,717,180,2,28,4,34
424,136393,1,0,0,0,1,0,0,10,6,2,0,3690,7659,388,644,6951,3290,377,0,56,12,68
204,136393,0,0,0,1,1,0,0,10,5,10,0,4664,9463,182,251,7196,3324,173,0,32,16,48
210,136013,1,0,0,0,1,0,0,10,5,8,0,1080,2427,189,249,2195,934,184,4,32,3,39
1480,136013,0,1,0,0,0,1,0,10,5,3,0,8896,17202,1426,1932,13838,7020,1292,0,129,25,154
428,136013,1,0,0,0,1,0,0,10,4,10,1,4018,8617,374,616,6677,2992,351,4,77,19,100
1032,136013,0,0,0,1,1,0,0,10,4,3,0,68992,229733,975,1345,17842,8032,635,15,143,44,202
2543,136013,0,1,0,0,0,0,1,10,3,10,0,13152,25666,2438,3179,20547,10280,2278,2,227,36,265
6164,136013,0,1,0,0,0,1,0,10,3,2,1,31136,59964,5934,9237,35977,18048,4376,60,859,90,1009
714,136013,1,0,0,0,0,0,1,10,2,10,1,16776,39549,440,720,11860,6200,590,10,377,60,447
1462,136013,1,0,0,0,1,0,0,10,2,3,1,50736,140432,1450,8308,46252,15552,1275,3,41,9,53
528,136013,1,0,0,0,1,0,0,10,1,10,1,5324,11040,483,861,8627,4054,448,6,76,14,96
421,136013,1,0,0,0,0,0,1,10,1,3,0,18120,44940,282,463,4401,2616,327,0,189,15,204
303,135713,1,0,0,0,0,0,1,10,7,10,0,2291,3960,243,325,3020,1723,253,0,80,14,94
1967,135713,0,1,0,0,0,1,0,10,7,4,0,10744,20691,1877,2201,17502,8964,1834,3,148,28,179
111,135713,0,0,0,1,1,0,0,10,6,11,1,3616,6887,90,118,4263,2138,93,0,24,11,35
2105,135713,1,0,0,0,1,0,0,10,6,4,0,39984,112830,1921,3932,70249,21328,1609,24,302,41,367
477,135713,1,0,0,0,0,1,0,10,5,11,0,4010,7444,370,534,4406,2362,354,2,166,32,200
806,135713,1,0,0,0,0,1,0,10,5,4,1,6564,12097,602,957,7682,4024,563,47,358,49,454
813,135713,1,0,0,0,1,0,0,10,4,10,0,8612,20151,727,1390,16890,7208,630,7,161,25,193
746,135713,1,0,0,0,0,1,0,10,4,1,0,5568,10282,545,867,5696,3162,537,13,319,55,387
322,135700,1,0,0,0,0,1,0,9,3,7,0,1685,2999,295,424,1794,953,237,0,54,16,70
469,135700,1,0,0,0,0,1,0,9,2,11,0,3756,7094,408,613,4935,2556,365,16,117,30,163
390,135700,1,0,0,0,0,0,1,9,2,2,0,2656,4862,309,445,3273,1722,309,1,115,21,137
622,135700,1,0,0,0,0,1,0,9,1,10,0,5086,9493,509,757,6200,3298,489,30,187,35,252
346,135617,1,0,0,0,0,1,0,9,1,3,1,2055,3915,288,412,2970,1507,277,1,84,13,98
757,135617,1,0,0,0,0,0,1,9,7,9,0,9384,14948,452,652,11148,7020,604,6,363,40,409
598,135617,1,0,0,0,0,1,0,9,7,3,0,3992,7255,447,688,4428,2420,435,6,244,32,282
769,135617,1,0,0,0,0,0,1,9,6,10,0,7512,13633,614,951,5503,3260,530,22,290,98,410
1843,135617,0,1,0,0,0,1,0,9,6,4,0,11096,21080,1724,2106,16095,8120,1604,4,243,41,288
266,135428,1,0,0,0,1,0,0,9,5,10,0,1060,2004,251,337,1705,870,204,0,18,,18
435,135428,1,0,0,0,0,1,0,9,5,3,1,2790,4879,360,513,3501,1999,351,0,113,19,132
519,135428,1,0,0,0,1,0,0,9,4,10,1,13856,37716,450,672,26832,9064,389,2,77,5,84
892,135428,1,0,0,0,0,0,1,9,4,2,1,10748,19724,498,719,13674,7624,704,8,485,64,557
3370,135428,1,0,0,0,1,0,0,9,3,10,0,41984,68290,2420,4074,34802,20928,2126,144,1622,208,1974
455,135428,1,0,0,0,0,1,0,9,3,2,1,2522,4583,390,547,3031,1674,333,6,99,16,121
572,135195,1,0,0,0,0,0,1,9,2,9,0,4480,8039,430,599,5014,2704,416,3,188,26,217
360,135195,1,0,0,0,1,0,0,9,2,2,0,1543,2874,334,463,2373,1228,267,2,30,6,38
4840,135195,0,1,0,0,0,1,0,9,1,10,0,21256,41906,4754,5906,35455,17592,4318,38,163,27,228
545,135195,1,0,0,0,1,0,0,9,1,4,0,4484,7829,424,629,4208,2412,382,6,179,40,225
584,135195,1,0,0,0,0,1,0,9,7,3,0,4398,8105,446,669,4799,2616,431,5,204,34,243
2675,135195,0,1,0,0,0,1,0,9,6,10,1,13216,24738,2584,2969,19599,10232,2342,2,165,22,189
1805,135195,1,0,0,0,0,0,1,9,6,3,1,22304,37159,984,1618,22864,13304,1349,29,1047,98,1174
644,135195,1,0,0,0,1,0,0,9,5,11,0,6208,10830,473,678,6866,4016,495,2,234,40,276
626,135195,1,0,0,0,0,1,0,9,5,2,0,4518,8533,482,729,4215,2254,439,7,250,42,299
537,135195,1,0,0,0,0,1,0,9,4,10,0,3582,6518,430,597,3857,2124,404,4,154,36,194
1476,134879,0,1,0,0,0,1,0,9,4,4,1,9124,17776,1397,1797,13887,7092,1331,20,150,29,199
631,134879,1,0,0,0,1,0,0,9,3,10,0,14152,38806,549,836,19409,6632,404,4,102,8,114
588,134879,1,0,0,0,0,0,1,9,3,2,1,4260,7989,435,622,4578,2432,436,1,226,44,271
2080,134879,0,0,1,0,1,0,0,9,2,10,0,30624,56950,1956,3253,32033,15744,1376,6,345,121,472
393,134879,1,0,0,0,0,1,0,9,2,3,0,2363,4223,348,476,3332,1788,297,11,68,11,90
374,134879,1,0,0,0,1,0,0,9,1,10,0,2232,4005,335,458,3247,1740,278,0,62,10,72
544,134879,1,0,0,0,0,1,0,9,1,6,0,4048,7217,405,602,4046,2280,368,5,223,35,263
330,134879,1,0,0,0,0,1,0,9,7,10,0,1804,2968,280,352,2293,1354,234,0,61,6,67
371,134879,1,0,0,0,0,0,1,9,7,4,1,2351,4028,298,392,3112,1791,288,1,104,12,117
518,133679,1,0,0,0,0,1,0,9,2,10,0,3100,5388,422,609,3927,2274,367,3,146,15,164
436,133679,1,0,0,0,0,0,1,9,2,3,1,2360,4004,365,486,2757,1603,300,2,102,15,119
1359,133679,1,0,0,0,0,0,1,8,1,10,0,19648,33643,695,990,24034,13528,1020,9,766,43,818
377,133679,1,0,0,0,0,1,0,8,1,4,0,2295,3721,324,402,3121,1882,269,0,63,7,70
512,133594,1,0,0,0,0,1,0,8,7,10,1,3934,6330,437,599,5010,3082,384,3,113,17,133
1666,133594,1,0,0,0,1,0,0,8,7,3,0,34512,76659,1333,1977,54860,22816,1278,6,442,42,490
703,133594,1,0,0,0,0,1,0,8,6,10,0,5282,8730,530,772,5123,3244,470,9,278,43,330
399,133594,1,0,0,0,1,0,0,8,6,8,0,1809,3130,359,494,2541,1435,289,2,64,7,73
365,133594,1,0,0,0,0,1,0,8,5,13,0,1920,3124,331,428,2541,1519,251,1,52,7,60
356,133451,1,0,0,0,1,0,0,8,4,9,1,1954,3530,333,443,3295,1772,252,0,30,2,32
1954,132817,1,0,0,0,0,0,1,8,4,10,0,33536,64850,1016,1678,50076,24448,1564,33,1155,102,1290
498,132817,1,0,0,0,0,1,0,8,4,3,1,4204,7191,408,596,5161,2974,387,2,139,25,166
428,132817,1,0,0,0,1,0,0,8,3,9,0,3376,6557,409,631,5700,2806,331,0,40,5,45
1151,132817,0,1,0,0,0,1,0,8,3,2,1,9236,16054,1130,1560,14014,7880,1075,2,53,15,70
946,132817,1,0,0,0,0,0,1,8,2,10,0,72864,205934,759,1158,122474,30912,646,4,220,19,243
394,132817,1,0,0,0,0,0,1,8,2,3,0,3358,5682,323,523,4200,2426,298,2,114,16,132
371,132201,1,0,0,0,1,0,0,8,1,12,1,3254,5644,344,513,5069,2846,283,0,39,3,42
2240,132201,1,0,0,0,1,0,0,8,1,3,0,50640,121234,1577,2779,92348,34880,1790,4,859,68,931
529,132201,1,0,0,0,0,1,0,8,7,10,0,3734,6218,434,794,4831,2868,389,5,137,20,162
347,132201,1,0,0,0,0,0,1,8,7,3,0,2594,4220,315,529,3418,2067,248,1,54,11,66
376,132201,1,0,0,0,0,1,0,8,6,10,1,2232,3772,322,440,2205,1306,257,2,74,22,98
979,132201,1,0,0,0,0,0,1,8,6,3,1,22120,54734,906,1751,46700,17528,796,6,98,3,107
630,132201,1,0,0,0,0,0,1,8,5,10,0,7980,12978,398,521,9342,5372,467,2,264,21,287
345,132201,1,0,0,0,0,1,0,8,5,1,0,1659,2845,321,424,1604,915,239,3,36,11,50
277,132201,1,0,0,0,0,0,1,8,4,11,1,1006,1594,268,354,1055,651,187,1,11,3,15
844,132201,1,0,0,0,0,0,1,8,4,3,1,12728,21685,461,683,15779,8844,657,4,435,31,470
1062,131956,1,0,0,0,1,0,0,8,3,10,0,28880,64746,991,1971,40181,15808,740,2,114,10,126
363,131956,1,0,0,0,0,1,0,8,3,4,0,1330,2327,351,433,1475,827,230,2,17,9,28
304,131956,0,1,0,0,0,1,0,8,2,12,0,14424,26000,286,383,25539,14056,291,41,15,1,57
1393,131956,1,0,0,0,1,0,0,8,2,7,0,14200,26728,1354,3214,25610,13376,1233,3,87,10,100
769,131956,1,0,0,0,0,0,1,8,1,12,0,5746,9874,632,1063,7407,4288,584,16,227,28,271
389,131956,1,0,0,0,0,1,0,8,1,4,0,2540,4372,330,458,3655,2063,279,2,86,8,96
548,131956,1,0,0,0,0,0,1,8,7,10,0,4324,7241,431,676,4972,3008,401,6,179,27,212
997,131808,0,1,0,0,0,1,0,8,7,4,0,8260,14305,953,1211,12905,7360,956,1,74,11,86
3370,131808,0,1,0,0,0,1,0,8,6,10,1,20168,35904,3244,5106,26881,15056,2806,18,332,54,404
528,131808,1,0,0,0,1,0,0,8,6,6,0,5046,9084,477,906,7723,4184,421,2,80,21,103
2827,131808,0,1,0,0,0,1,0,7,5,14,0,15296,25269,2781,3627,22103,13296,2602,9,95,17,121
473,131728,1,0,0,0,0,0,1,7,5,8,1,3414,6369,342,525,4518,2390,360,3,188,26,217
699,131728,1,0,0,0,1,0,0,7,4,10,1,95424,252207,575,882,78287,22016,417,6,109,11,126
868,131728,1,0,0,0,0,1,0,7,4,3,0,14824,21863,591,966,13498,8560,650,64,367,25,456
444,131630,1,0,0,0,0,1,0,7,3,13,0,3504,5699,374,497,4487,2730,348,9,102,19,130
424,131630,1,0,0,0,0,0,1,7,2,23,0,2822,5058,351,486,3681,2020,327,2,113,20,135
356,131630,1,0,0,0,0,0,1,7,2,13,0,2973,5063,297,415,3764,2208,266,0,94,20,114
135,131630,0,1,0,0,0,1,0,7,2,6,1,10824,20573,126,153,20030,10384,126,6,14,1,21
320,131630,1,0,0,0,1,0,0,7,1,11,0,4592,6691,289,423,3238,2100,222,1,43,10,54
372,131630,1,0,0,0,0,1,0,7,1,5,0,3176,5278,319,577,3993,2426,279,1,98,21,120
128,131300,0,1,0,0,0,1,0,7,7,10,0,10956,19279,119,130,18838,10564,123,3,13,1,17
913,131300,1,0,0,0,0,0,1,7,7,4,0,10888,19744,783,1370,14425,8048,722,12,237,45,294
424,131300,1,0,0,0,0,1,0,7,6,10,0,3594,6316,354,530,4319,2468,309,4,112,23,139
451,131300,1,0,0,0,1,0,0,7,6,2,0,3384,6166,395,561,4708,2508,344,2,101,25,128
487,130791,1,0,0,0,0,1,0,7,5,11,1,4096,7200,406,723,4911,2826,355,10,145,31,186
1016,130791,1,0,0,0,0,0,1,7,5,3,0,19968,35161,592,909,26701,14792,757,6,535,83,624
536,130791,1,0,0,0,1,0,0,7,4,11,0,4892,8499,460,721,7389,4206,428,4,118,22,144
2573,130791,0,1,0,0,0,1,0,7,4,6,0,17360,33613,2448,6017,23338,11800,1905,9,484,79,572
3872,130791,0,0,1,0,1,0,0,7,3,11,1,21872,40413,3822,7327,24667,12920,2218,18,315,76,409
8072,130791,1,0,0,0,0,1,0,7,3,5,1,180480,319133,4010,6242,108752,51456,3316,372,5172,790,6334
1052,130791,1,0,0,0,1,0,0,7,2,13,0,44464,66824,930,1571,22904,14080,559,4,154,30,188
550,130791,1,0,0,0,0,1,0,7,2,8,0,2881,5188,503,730,3840,2040,323,0,73,15,88
541,129600,1,0,0,0,0,1,0,7,1,12,0,3460,6503,482,667,4371,2260,314,0,96,19,115
571,129600,1,0,0,0,0,0,1,7,1,6,0,3406,5656,512,731,4446,2598,355,1,98,19,118
479,129600,1,0,0,0,0,1,0,7,7,11,1,2602,4349,444,588,3342,1946,287,1,53,14,68
622,129600,1,0,0,0,1,0,0,7,7,6,1,5848,9068,570,795,6651,4212,383,4,71,10,85
877,129600,1,0,0,0,1,0,0,7,6,11,0,26944,43464,740,1097,20270,10208,563,6,194,34,234
756,129600,1,0,0,0,0,0,1,7,6,5,0,5292,9321,646,1033,5867,3404,516,6,226,42,274
